stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_08590,08590,SIMÓN HERNÁNDEZ-AV.FELIPE II,Calle de Simón Hernández 51,40.3191795349121,-3.85434031486511,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08591,08591,SIMÓN HERNÁNDEZ-AV.CARLOS V,Calle de Simón Hernández 63,40.317497253418,-3.85118842124939,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08603,08603,AV.PORTUGAL-AV.CERRO PRIETO,Avda de Portugal 4,40.3289451599121,-3.85798311233521,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08604,08604,PºGOYA-AV.PORTUGAL,Paseo de Goya 3,40.3264770507813,-3.86266040802002,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08605,08605,AV.PORTUGAL-EST.MÓSTOLES CENTRAL,Avda de Portugal 24,40.3272132873535,-3.86198711395264,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08607,08607,CANARIAS-BIBLIOTECA,Calle  Canarias 1 A,40.3248901367188,-3.86158084869385,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08614,08614,PINTOR VELÁZQUEZ-PINTOR JULIO ROMERO,Calle del Pintor Velázquez 10,40.3324813842773,-3.86560916900635,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08615,08615,PINTOR VELÁZQUEZ-JULIO ROMERO,Calle del Pintor Velázquez 10,40.3321800231934,-3.86600565910339,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08620,08620,PINTOR MURILLO-COLEGIO,Calle del Pintor Murillo 30,40.3259963989258,-3.87158846855164,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08621,08621,PINTOR MURILLO-COLEGIO,Calle del Pintor Murillo 15,40.3257713317871,-3.87156200408936,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08626,08626,CID CAMPEADOR-POLIDEPORTIVO UNED,Calle   Cid Campeador 14,40.3271408081055,-3.87248611450195,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08627,08627,CID CAMPEADOR-MAGALLANES,Calle   Cid Campeador 14,40.3272399902344,-3.8728404045105,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08628,08628,MAGALLANES-PINTOR VELAZQUEZ,Calle  Magallanes 10,40.3302154541016,-3.87445616722107,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08629,08629,MAGALLANES-COLEGIO,Calle  Magallanes 35,40.3301696777344,-3.87458515167236,B2,http://www.crtm.es,0,,Europe/Madrid,2
